objectid	provinsi	kabkot	jumlah_kec	jumlah_des	jumlah_kel	jumlah_pen	jumlah_kk	luas_wilay	kepadatan_	perpindaha	jumlah_men	perubahan_	wajib_ktp	islam	kristen	katholik	hindu	budha	konghucu	kepercayaa	pria	wanita	belum_kawi	kawin	cerai_hidu	cerai_mati	u0	u5	u10	u15	u20	u25	u30	u35	u40	u45	u50	u55	u60	u65	u70	u75	lahir_thn3	lahir_seb3	pertumbuha	pertumbuh2	pertumbuh3	pertumbuh4	pertumbuh5	pendidikan	pendidika2	pendidika3	pendidika4	pendidika5	pendidika6	tidak_belu	belum_tama	tamat_sd	sltp	slta	diploma_i_	diploma_ii	diploma_iv	strata_ii	strata_iii	a	b	ab	o	a_	a_2	b_	b_2	ab_	ab_2	o_	o_2	tidak_di_k	belum_tida	aparatur_p	tenaga_pen	wiraswasta	pertanian_	nelayan	agama_dan_	pelajar_ma	tenaga_kes	pensiunan	lainnya	generated_	f4_18_tahun_pendidikan_khusus	f5_6_tahun_paud	f7_12_tahun_sd	f12_15_tahun_smp	f16_18_tahun_sma
684	DKI JAKARTA	KOTA ADMINISTRASI JAKARTA UTARA	6	0	31	1865647	610923	147.46	12652	8082	1.25	1824383	1350714	1439170	199471	93847	4366	128366	367	60	940044	925603	905918	862789	30097	66843	141288	165633	161866	147816	140288	141389	147664	165019	165529	137108	111227	83837	65396	42350	26323	22914	30676	1773022	2	2	2	1	0	64816	199650	94194	86774	88202	144643	295484	188446	160566	284731	722081	4444	47965	149178	12118	634	134958	147272	61503	298284	9779	1020	11252	1333	4569	592	10500	4270	1180315	305655	19099	13506	650850	738	5951	884	484149	5961	9075	369756	30 Juni 2022	465065	66470	197895	90156	79020
685	DKI JAKARTA	KOTA ADMINISTRASI JAKARTA BARAT	8	0	56	2589589	836437	125	20717	10029	1.58	2494059	1903498	1961926	271537	150235	2780	202123	912	76	1302548	1287041	1236713	1237425	35516	79935	187708	218666	216808	198902	194429	196942	207123	232055	230635	194222	162207	123524	93884	60310	37513	34661	41273	2466701	2	2	2	1	0	85124	265108	127823	114939	117881	199439	400688	270681	233686	390587	967413	7188	58683	240677	19024	962	168450	180649	74389	365184	15123	1505	16462	1575	6560	747	16635	4791	1737519	414052	22656	20349	958393	907	97	1075	657519	7313	10938	496261	30 Juni 2022	634583	88070	268617	124587	111432
686	DKI JAKARTA	KOTA ADMINISTRASI JAKARTA SELATAN	10	0	65	2384183	777697	144.94	16449	7750	1.78	2307213	1766508	2187066	121355	60168	3831	11597	101	65	1190508	1193675	1140536	1101863	44181	97603	166198	195155	197801	187789	184483	179153	178120	196881	208175	189013	163189	124091	89840	55983	34465	33847	36194	2274932	2	2	1	1	0	76062	238304	118276	108771	110051	189657	342238	230343	154073	265971	924726	10057	99182	314611	40225	2757	212589	240345	96216	444901	15432	2040	17355	2490	7019	924	17811	6272	1320789	361037	58781	24522	863825	528	16	561	623417	10011	21740	419699	30 Juni 2022	581438	77684	243300	116359	106913
687	DKI JAKARTA	KOTA ADMINISTRASI JAKARTA TIMUR	10	0	65	3274716	1054124	185.54	17650	14110	2.36	3189203	2385662	2905907	263415	84302	5571	15123	232	166	1642684	1632032	1575913	1522647	49035	127121	246476	280716	279954	256875	254552	252117	254185	278711	281344	246349	209709	158956	118694	75881	43817	36380	53608	3112581	2	2	2	1	0	109906	340306	165988	148268	150085	258272	487339	324358	215647	389358	1314963	12180	128791	365222	34874	1984	277417	313086	128162	585909	19350	2481	21670	2951	8549	1351	22998	8837	1881955	518756	93206	37230	1111275	856	44	1285	868532	14057	32385	597039	30 Juni 2022	808774	111716	339891	159783	144620
688	JAWA BARAT	BOGOR	40	416	19	5385219	1692559	2991.78	1800	19448	1.84	4924678	3800286	5234304	92791	30005	2460	17225	8349	85	2755805	2629414	2564595	2578460	65730	176434	418001	515156	504935	410221	488599	465587	440556	433422	410181	370754	309669	226467	166985	104329	60134	60223	97750	5117404	2	2	2	1	0	203129	620718	295227	215974	230405	475057	1237235	526420	1528582	796812	1058869	14852	54891	155685	10831	1042	69326	70965	29708	132068	3004	13805	3078	228	1241	320	2829	5038	5053609	1334526	67175	34809	1495216	59782	188	2571	1050277	6759	14132	1319782	30 Juni 2022	1364473	199851	586983	269106	213080
689	JAWA BARAT	SUKABUMI	47	381	5	2733402	943808	4164.15	656	10531	1.19	2153535	1947491	2724721	6007	1875	49	730	11	9	1388016	1345386	1186569	1387847	62135	96851	214707	253515	245715	192980	237928	226652	206174	206630	197849	182781	164799	133152	105630	70398	43582	50910	48883	2592480	2	2	2	1	0	100209	303440	144045	98217	110943	228790	623720	234092	1025346	420218	359896	6263	14702	46499	2531	135	17245	15441	8352	28246	1341	69	454	61	262	188	716	2198	2658829	734969	22418	12195	635993	136285	7841	1428	408181	3188	7238	763661	30 Juni 2022	687575	99497	294507	142825	102759
690	JAWA BARAT	CIANJUR	32	354	6	2472052	846360	3631.92	681	7272	685	1921744	1731667	2456691	10493	2773	130	1940	18	7	1266074	1205978	1102436	1242612	46061	80943	197201	244893	230095	172232	209638	200374	184526	186016	178429	169500	146737	117223	94090	61308	38026	41764	45199	2344843	2	2	2	1	0	95750	290531	134192	88283	100915	195567	557569	243409	950868	348384	307527	4245	11709	45350	2839	152	24954	12939	7433	22351	144096	92	359	63	195	307	639	4307	2254317	654781	24627	11782	556488	153018	720	555	402892	3056	9172	654955	30 Juni 2022	639299	96194	276166	131198	89851
691	JAWA BARAT	BANDUNG	31	270	10	3655878	1203774	1740.84	2100	20669	1.17	3260017	2596156	3582828	50885	17732	586	3251	83	513	1860130	1795748	1635934	1842648	56200	121096	280721	333316	343637	291356	317484	304051	263076	273614	289424	259430	213774	166416	125367	87105	50906	56201	62758	3471275	2	2	2	1	0	129197	412188	204542	153756	166421	321149	735026	373604	879665	681412	789548	15907	47294	123438	8892	1092	123188	90419	52028	165263	2264	261	1540	199	920	690	2066	5374	3211666	911676	57639	20238	1046693	35572	161	504	657086	5271	23218	897815	30 Juni 2022	991845	132021	410457	205191	181022
692	JAWA BARAT	GARUT	42	421	21	2675547	885416	3101.24	863	11394	569	2580156	1848543	2669811	3986	1111	32	300	8	299	1363263	1312284	1226154	1300283	45214	103896	223427	262360	262647	200207	249196	227321	194779	189932	188943	169814	149812	118355	92791	60841	39942	45180	51486	2528884	2	2	2	1	0	104036	317560	156514	99833	114440	232504	511856	294438	864192	456010	459211	5288	16678	63909	3731	234	139956	24647	14675	47784	1406	77	1108	63	543	797	3620	6476	2434395	586076	31453	14000	670967	114010	1996	1023	558233	3892	13305	680542	30 Juni 2022	694652	101344	300302	147971	94647
693	JAWA BARAT	TASIKMALAYA	39	351	0	1881881	664876	2705.86	695	5938	241	1761407	1376782	1881137	380	282	9	9	3	61	956697	925184	781727	966691	42105	91358	141265	154196	162464	134608	160286	148237	127186	133107	129591	130326	124855	107222	83468	56981	38201	49888	30761	1786913	2	2	2	1	0	60435	192507	95783	68522	74592	158357	327793	181129	756278	318907	242164	3446	8511	41236	2305	112	26178	20997	10301	34575	688	52	580	40	265	136	550	1610	1785909	387377	19037	7318	505933	106088	657	921	328451	1924	7434	516738	30 Juni 2022	450319	60343	190962	94047	75800
